Date,Close
"Dec 18, 2013",1084.75
"Dec 17, 2013",1069.86
"Dec 16, 2013",1072.98
"Dec 13, 2013",1060.79
"Dec 12, 2013",1069.96
"Dec 11, 2013",1077.29
"Dec 10, 2013",1084.66
"Dec 9, 2013",1078.14
"Dec 6, 2013",1069.87
"Dec 5, 2013",1057.34
"Dec 4, 2013",1058.18
"Dec 3, 2013",1053.26
"Dec 2, 2013",1054.48
"Nov 29, 2013",1059.59
"Nov 27, 2013",1063.11
"Nov 26, 2013",1058.41
"Nov 25, 2013",1045.93
"Nov 22, 2013",1031.89
"Nov 21, 2013",1034.07
"Nov 20, 2013",1022.31
"Nov 19, 2013",1025.20
"Nov 18, 2013",1031.55
"Nov 15, 2013",1033.56
"Nov 14, 2013",1035.23
"Nov 13, 2013",1032.47
"Nov 12, 2013",1011.78
"Nov 11, 2013",1010.59
"Nov 8, 2013",1016.03
"Nov 7, 2013",1007.95
"Nov 6, 2013",1022.75
"Nov 5, 2013",1021.52
"Nov 4, 2013",1026.11
"Nov 1, 2013",1027.04
"Oct 31, 2013",1030.58
"Oct 30, 2013",1030.42
"Oct 29, 2013",1036.24
"Oct 28, 2013",1015.00
"Oct 25, 2013",1015.20
"Oct 24, 2013",1025.55
"Oct 23, 2013",1031.41
"Oct 22, 2013",1007.00
"Oct 21, 2013",1003.30
"Oct 18, 2013",1011.41
"Oct 17, 2013",888.79
"Oct 16, 2013",898.03
"Oct 15, 2013",882.01
"Oct 14, 2013",876.11
"Oct 11, 2013",871.99
"Oct 10, 2013",868.24
"Oct 9, 2013",855.86
"Oct 8, 2013",853.67
"Oct 7, 2013",865.74
"Oct 4, 2013",872.35
"Oct 3, 2013",876.09
"Oct 2, 2013",887.99
"Oct 1, 2013",887.00
"Sep 30, 2013",875.91
"Sep 27, 2013",876.39
"Sep 26, 2013",878.17
"Sep 25, 2013",877.23
"Sep 24, 2013",886.84
"Sep 23, 2013",886.50
"Sep 20, 2013",903.11
"Sep 19, 2013",898.39
"Sep 18, 2013",903.32
"Sep 17, 2013",886.11
"Sep 16, 2013",887.76
"Sep 13, 2013",889.07
"Sep 12, 2013",893.06
"Sep 11, 2013",896.19
"Sep 10, 2013",888.67
"Sep 9, 2013",888.05
"Sep 6, 2013",879.58
"Sep 5, 2013",879.56
"Sep 4, 2013",871.63
"Sep 3, 2013",860.38
"Aug 30, 2013",846.90
"Aug 29, 2013",855.43
"Aug 28, 2013",848.55
"Aug 27, 2013",850.15
"Aug 26, 2013",866.39
"Aug 23, 2013",870.21
"Aug 22, 2013",873.71
"Aug 21, 2013",869.33
"Aug 20, 2013",865.42
"Aug 19, 2013",865.65
"Aug 16, 2013",856.91
"Aug 15, 2013",859.66
"Aug 14, 2013",869.81
"Aug 13, 2013",881.25
"Aug 12, 2013",885.51
"Aug 9, 2013",890.41
"Aug 8, 2013",892.66
"Aug 7, 2013",890.65
"Aug 6, 2013",896.57
"Aug 5, 2013",905.00
"Aug 2, 2013",906.57
"Aug 1, 2013",904.22
"Jul 31, 2013",887.75
"Jul 30, 2013",890.92
"Jul 29, 2013",882.27
"Jul 26, 2013",885.35
"Jul 25, 2013",887.70
"Jul 24, 2013",902.90
"Jul 23, 2013",903.80
"Jul 22, 2013",910.70
"Jul 19, 2013",896.60
"Jul 18, 2013",910.68
"Jul 17, 2013",918.55
"Jul 16, 2013",919.61
"Jul 15, 2013",924.69
"Jul 12, 2013",923.00
"Jul 11, 2013",920.24
"Jul 10, 2013",905.99
"Jul 9, 2013",905.24
"Jul 8, 2013",905.09
"Jul 5, 2013",893.49
"Jul 3, 2013",886.43
"Jul 2, 2013",882.31
"Jul 1, 2013",887.88
"Jun 28, 2013",880.37
"Jun 27, 2013",877.07
"Jun 26, 2013",873.65
"Jun 25, 2013",866.20
"Jun 24, 2013",869.79
"Jun 21, 2013",880.93
"Jun 20, 2013",884.74
"Jun 19, 2013",900.68
"Jun 18, 2013",900.62
"Jun 17, 2013",886.25
"Jun 14, 2013",875.04
"Jun 13, 2013",877.00
"Jun 12, 2013",871.98
"Jun 11, 2013",879.81
"Jun 10, 2013",890.22
"Jun 7, 2013",879.73
"Jun 6, 2013",864.64
"Jun 5, 2013",859.70
"Jun 4, 2013",859.10
"Jun 3, 2013",867.63
"May 31, 2013",871.22
"May 30, 2013",870.76
"May 29, 2013",868.31
"May 28, 2013",881.27
"May 24, 2013",873.32
"May 23, 2013",882.79
"May 22, 2013",889.42
"May 21, 2013",906.97
"May 20, 2013",908.53
"May 17, 2013",909.18
"May 16, 2013",903.87
"May 15, 2013",915.89
"May 14, 2013",887.10
"May 13, 2013",877.53
"May 10, 2013",880.23
"May 9, 2013",871.48
"May 8, 2013",873.63
"May 7, 2013",857.23
"May 6, 2013",861.55
"May 3, 2013",845.72
"May 2, 2013",829.61
"May 1, 2013",820.43
"Apr 30, 2013",824.57
"Apr 29, 2013",819.06
"Apr 26, 2013",801.42
"Apr 25, 2013",809.10
"Apr 24, 2013",813.45
"Apr 23, 2013",807.90
"Apr 22, 2013",800.11
"Apr 19, 2013",799.87
"Apr 18, 2013",765.91
"Apr 17, 2013",782.56
"Apr 16, 2013",793.37
"Apr 15, 2013",781.93
"Apr 12, 2013",790.05
"Apr 11, 2013",790.39
"Apr 10, 2013",790.18
"Apr 9, 2013",777.65
"Apr 8, 2013",774.85
"Apr 5, 2013",783.05
"Apr 4, 2013",795.07
"Apr 3, 2013",806.20
"Apr 2, 2013",813.04
"Apr 1, 2013",801.19
"Mar 28, 2013",794.19
"Mar 27, 2013",802.66
"Mar 26, 2013",812.42
"Mar 25, 2013",809.64
"Mar 22, 2013",810.31
"Mar 21, 2013",811.26
"Mar 20, 2013",814.71
"Mar 19, 2013",811.32
"Mar 18, 2013",807.79
"Mar 15, 2013",814.30
"Mar 14, 2013",821.54
"Mar 13, 2013",825.31
"Mar 12, 2013",827.61
"Mar 11, 2013",834.82
"Mar 8, 2013",831.52
"Mar 7, 2013",832.60
"Mar 6, 2013",831.38
"Mar 5, 2013",838.60
"Mar 4, 2013",821.50
"Mar 1, 2013",806.19
"Feb 28, 2013",801.20
"Feb 27, 2013",799.78
"Feb 26, 2013",790.13
"Feb 25, 2013",790.77
"Feb 22, 2013",799.71
"Feb 21, 2013",795.53
"Feb 20, 2013",792.46
"Feb 19, 2013",806.85
"Feb 15, 2013",792.89
"Feb 14, 2013",787.82
"Feb 13, 2013",782.86
"Feb 12, 2013",780.70
"Feb 11, 2013",782.42
"Feb 8, 2013",785.37
"Feb 7, 2013",773.95
"Feb 6, 2013",770.17
"Feb 5, 2013",765.74
"Feb 4, 2013",759.02
"Feb 1, 2013",775.60
"Jan 31, 2013",755.69
"Jan 30, 2013",753.83
"Jan 29, 2013",753.68
"Jan 28, 2013",750.73
"Jan 25, 2013",753.67
"Jan 24, 2013",753.83
"Jan 23, 2013",741.50
"Jan 22, 2013",702.87
"Jan 18, 2013",704.51
"Jan 17, 2013",711.32
"Jan 16, 2013",715.19
"Jan 15, 2013",724.93
"Jan 14, 2013",723.25
"Jan 11, 2013",739.99
"Jan 10, 2013",741.48
"Jan 9, 2013",738.12
"Jan 8, 2013",733.30
"Jan 7, 2013",734.75
"Jan 4, 2013",737.97
"Jan 3, 2013",723.67
"Jan 2, 2013",723.25